ID,Date_of_Birth,Email,AI_Score,Demographic_Group,Status
APP-00073,1997-01-22,applicant_73@email.com,65,Group_A,Active
APP-00074,1989-06-06,applicant_74@email.com,76,Group_C,Active
APP-00075,1989-01-27,applicant.num_75@email.com,67,Group_C,Active
APP-00076,1993-07-02,applicant_76@email.com,79,Group_B,Active
APP-00077,05-18-1988,applicant_77@email.com,64,Group_A,Active
APP-00078,06-27-2000,applicant_78@email.com,84,Group_B,Active
APP-00079,1981-10-25,applicant_79@email.com,58,Group_C,Active
APP-00080,1995-05-29,applicant_80email.com,70,Group_B,Active
APP-00081,1991-05-19,applicant_81@email.com,90,Group_A,Inactive
APP-00082,1991-08-30,applicant_82@email.com,68,Group_B,Active
APP-00083,1998-05-30,applicant_83@email.com,59,Group_C,Active
APP-00084,1990-05-04,applicant_84@email.com,58,Group_A,Active
APP-00085,1991-06-06,applicant_85@email.com,86,Group_A,Active
APP-00086,1984-06-05,applicant_86@email.com,69,Group_A,Active
APP-00087,1987-07-14,applicant_87@email.com,61,Group_A,Active
APP-00088,1981-06-06,applicant_88@email.com,58,Group_C,Active
APP-00089,1992-04-02,applicant_89@email.com,68,Group_A,Inactive
APP-00090,05-06-1989,applicant.num_90@email.com,77,Group_A,Active
APP-00091,1999-08-21,applicant_91@email.com,57,Group_C,Active
APP-00092,03-09-1999,applicant_92@email.com,80,Group_B,Active
APP-00093,1996-08-24,applicant_93@email.com,61,Group_B,Inactive
APP-00094,1996-05-28,applicant_94@email.com,78,Group_B,Active
APP-00095,1987-09-04,applicant.num_95@email.com,53,Group_C,Active
APP-00096,1994-12-22,applicant_96@email.com,,Group_B,Active
APP-00097,1982-10-05,applicant.num_97@email.com,56,Group_C,Active
APP-00098,1987-01-07,applicant_98@email.com,73,Group_A,Active
APP-00099,1989-08-15,applicant_99@email.com,62,Group_B,Active
APP-00100,1986-11-23,applicant_100@email.com,66,Group_C,Active
APP-00101,1998-11-24,applicant.num_101@email.com,86,Group_A,Active
APP-00102,1992-01-02,applicant_102@email.com,76,Group_B,Inactive
APP-00103,12-15-1980,applicant_103@email.com,81,Group_B,Active
APP-00104,1991-05-20,applicant_104@email.com,61,Group_B,Active
APP-00105,1993-02-20,applicant_105@email.com,58,Group_A,Inactive
APP-00106,1997-10-19,applicant_106@email.com,51,Group_C,Inactive
APP-00107,1980-11-09,applicant_107@email.com,59,Group_B,Active
APP-00108,1994-09-13,applicant_108@email.com,78,Group_C,Inactive
APP-00109,1992-01-02,applicant_109@email.com,79,Group_A,Active
APP-00110,1987-09-22,applicant_110@email.com,55,Group_C,Active
APP-00111,1987-11-12,applicant_111@email.com,65,Group_C,Inactive
APP-00112,2000-09-03,applicant_112@email.com,67,Group_B,Active
APP-00113,1987-02-01,applicant_113@email.com,75,Group_A,Inactive
APP-00114,1990-06-23,applicant_114@email.com,73,Group_A,Active
APP-00115,1998-02-21,applicant_115@email.com,76,Group_A,Active
APP-00116,1992-10-09,applicant_116@email.com,85,Group_C,Inactive
APP-00117,1994-10-12,applicant_117@email.com,71,Group_C,Active
APP-00118,1990-08-31,applicant_118@email.com,65,Group_B,Active
APP-00119,02-14-1995,applicant_119@email.com,82,Group_B,Active
APP-00120,1999-09-12,applicant_120@email.com,79,Group_C,Inactive
APP-00121,1998-08-07,applicant_121@email.com,58,Group_B,Active
APP-00122,1980-01-02,applicant_122@email.com,65,Group_B,Active
APP-00123,1996-07-31,applicant.num_123@email.com,58,Group_B,Active
APP-00124,1991-05-28,applicant.num_124@email.com,,Group_B,Inactive
APP-00125,1983-09-29,applicant_125@email.com,86,Group_A,Active
APP-00126,09-27-1997,applicant_126@email.com,72,Group_C,Active
APP-00127,1986-03-18,applicant_127@email.com,76,Group_B,Active
APP-00128,1993-09-26,applicant_128@email.com,58,Group_C,Active
APP-00129,1995-10-03,applicant_129@email.com,92,Group_A,Inactive
APP-00130,1993-03-12,applicant_130@email.com,54,Group_C,Active
APP-00131,1983-05-01,applicant_131@email.com,76,Group_A,Active
APP-00132,1983-12-29,applicant_132@email.com,68,Group_B,Active
APP-00133,1997-04-18,applicant.num_133@email.com,53,Group_B,Active
APP-00134,1985-06-30,applicant_134@email.com,68,Group_B,Active
APP-00135,1982-08-01,applicant_135@email.com,55,Group_A,Active
APP-00136,1989-10-29,applicant_136@email.com,65,Group_A,Active
APP-00137,1987-03-23,applicant_137@email.com,79,Group_C,Active
APP-00138,04-18-1983,applicant_138@email.com,69,Group_B,Active
APP-00139,1996-01-23,applicant_139@email.com,66,Group_B,Active
APP-00140,1986-01-13,applicant_140@email.com,60,Group_C,Inactive
APP-00141,1980-11-12,applicant_141email.com,74,Group_A,Active
APP-00142,11-10-1980,applicant_142@email.com,72,Group_B,Inactive
APP-00143,2000-02-26,applicant_143@email.com,75,Group_B,Active
APP-00144,12-18-1982,applicant_144@email.com,82,Group_C,Inactive
APP-00145,1998-09-14,applicant_145email.com,53,Group_C,Active
APP-00146,1989-03-06,applicant_146@email.com,73,Group_B,Active
APP-00147,03-21-1989,applicant_147@email.com,57,Group_A,Active
APP-00148,1990-08-15,applicant_148@email.com,54,Group_B,Active
APP-00149,1986-09-02,applicant_149@email.com,88,Group_A,Active
APP-00150,1989-07-02,applicant_150@email.com,59,Group_C,Inactive
APP-00151,1982-03-09,applicant_151@email.com,68,Group_B,Active
APP-00152,1986-08-09,applicant_152@email.com,69,Group_A,Active
APP-00153,04-08-1996,applicant_153@email.com,73,Group_B,Active
APP-00154,1983-07-05,applicant_154@email.com,91,Group_A,Active
APP-00155,04-29-1983,applicant_155@email.com,76,Group_C,Active
APP-00156,1986-08-27,applicant_156@email.com,73,Group_A,Active
APP-00157,1986-08-09,applicant_157email.com,76,Group_B,Active
APP-00158,01-13-1980,applicant_158@email.com,null,Group_A,Inactive
APP-00159,03-04-2000,applicant_159@email.com,null,Group_A,Inactive
APP-00160,1995-11-12,applicant_160@email.com,85,Group_B,Active
APP-00161,1998-08-15,applicant_161@email.com,87,Group_A,Active
APP-00162,1982-09-12,applicant_162@email.com,74,Group_B,Inactive
APP-00163,1988-01-26,applicant_163@email.com,63,Group_C,Active
APP-00164,1996-12-11,applicant_164@email.com,84,Group_B,Active
APP-00165,1993-11-19,applicant_165@email.com,81,Group_C,Active
APP-00166,1980-05-09,applicant_166@email.com,57,Group_A,Inactive
APP-00167,01-13-1983,applicant_167@email.com,67,Group_C,Inactive
APP-00168,01-04-2000,applicant_168@email.com,79,Group_C,Inactive
APP-00169,1998-03-07,applicant_169@email.com,87,Group_A,Active
APP-00170,1983-12-23,applicant_170@email.com,60,Group_A,Active
APP-00171,1998-02-21,applicant_171@email.com,84,Group_C,Active
APP-00172,03-08-1989,applicant_172@email.com,81,Group_A,Active
APP-00173,1983-06-02,applicant_173@email.com,76,Group_B,Active
APP-00174,04-26-1990,applicant_174@email.com,58,Group_A,Active
APP-00175,11-13-1986,applicant_175@email.com,null,Group_A,Inactive
APP-00176,1983-01-30,applicant_176@email.com,82,Group_C,Inactive
APP-00177,1989-09-24,applicant_177@email.com,66,Group_A,Active
APP-00178,1980-10-16,applicant_178email.com,60,Group_C,Active
APP-00179,1986-11-05,applicant_179@email.com,79,Group_B,Inactive
APP-00180,1998-08-26,applicant_180@email.com,50,Group_B,Active
APP-00181,10-19-1992,applicant_181@email.com,71,Group_B,Active
APP-00182,1999-09-14,applicant_182@email.com,,Group_B,Active
APP-00183,1982-12-26,applicant_183@email.com,71,Group_C,Active
APP-00184,1982-06-11,applicant_184@email.com,68,Group_C,Inactive
APP-00185,1996-06-21,applicant_185@email.com,77,Group_A,Active
APP-00186,1980-02-20,applicant_186@email.com,60,Group_C,Inactive
APP-00187,1980-08-31,applicant_187@email.com,51,Group_C,Active
APP-00188,1999-06-09,applicant_188@email.com,85,Group_B,Active
APP-00189,1989-11-25,applicant_189@email.com,51,Group_B,Active
APP-00190,1990-12-20,applicant_190@email.com,85,Group_C,Active
APP-00191,1987-05-09,applicant.num_191@email.com,60,Group_C,Active
APP-00192,1989-09-08,applicant_192@email.com,55,Group_C,Active
APP-00193,1987-07-11,applicant_193@email.com,68,Group_C,Active
APP-00194,11-24-1996,applicant_194@email.com,65,Group_A,Active
APP-00195,09-17-1990,applicant_195@email.com,78,Group_A,Inactive
APP-00196,01-10-1996,applicant_196@email.com,90,Group_A,Active
APP-00197,1989-12-15,applicant_197@email.com,86,Group_A,Inactive
APP-00198,1988-05-05,applicant_198@email.com,83,Group_B,Inactive
APP-00199,1985-08-12,applicant_199@email.com,,Group_A,Active
APP-00200,1995-02-22,applicant_200@email.com,81,Group_B,Active
APP-00201,1996-08-15,applicant_201@email.com,80,Group_C,Active
APP-00202,1998-11-30,applicant_202@email.com,77,Group_A,Active
APP-00203,07-05-1980,applicant_203email.com,75,Group_A,Active
APP-00204,1998-12-03,applicant_204@email.com,86,Group_A,Inactive
APP-00205,1986-11-19,applicant_205@email.com,60,Group_C,Active
APP-00206,1985-10-03,applicant_206@email.com,76,Group_A,Active
APP-00207,1992-10-21,applicant_207@email.com,58,Group_C,Active
APP-00208,1995-09-13,applicant.num_208@email.com,88,Group_A,Active
APP-00209,1986-12-21,applicant_209@email.com,67,Group_B,Active
APP-00210,1983-01-26,applicant_210@email.com,53,Group_A,Inactive
APP-00211,1994-07-25,applicant_211@email.com,75,Group_C,Inactive
APP-00212,1988-08-21,applicant_212@email.com,85,Group_A,Inactive
APP-00213,06-29-1998,applicant_213@email.com,55,Group_B,Active
APP-00214,10-23-1985,applicant_214@email.com,59,Group_B,Inactive
APP-00215,05-12-1983,applicant_215@email.com,55,Group_B,Active
APP-00216,1980-05-18,applicant_216@email.com,72,Group_C,Inactive
APP-00217,09-09-1997,applicant_217@email.com,54,Group_B,Active
APP-00218,1991-01-20,applicant.num_218@email.com,,Group_A,Active
APP-00219,1980-08-21,applicant_219@email.com,54,Group_A,Active
APP-00220,1997-11-10,applicant_220@email.com,80,Group_B,Active
APP-00221,08-17-1990,applicant.num_221@email.com,73,Group_B,Active
APP-00222,1989-06-03,applicant_222@email.com,62,Group_C,Active
APP-00223,03-16-1985,applicant_223@email.com,69,Group_B,Active
APP-00224,1985-06-15,applicant_224@email.com,72,Group_A,Inactive
APP-00225,1983-06-12,applicant.num_225@email.com,,Group_B,Active
APP-00226,03-22-1985,applicant_226@email.com,62,Group_C,Active
APP-00227,1987-09-06,applicant_227email.com,73,Group_C,Active
APP-00228,08-21-1999,applicant_228@email.com,74,Group_B,Active
APP-00229,1984-02-26,applicant_229@email.com,70,Group_B,Active
APP-00230,1997-04-24,applicant_230@email.com,59,Group_A,Active
APP-00231,1985-09-16,applicant_231@email.com,78,Group_B,Active
APP-00232,1987-12-15,applicant_232@email.com,77,Group_C,Active
APP-00233,05-03-1997,applicant_233@email.com,78,Group_C,Active
APP-00234,1988-10-06,applicant_234@email.com,73,Group_B,Active
APP-00235,1987-03-15,applicant_235@email.com,71,Group_B,Active
APP-00236,1980-02-18,applicant_236@email.com,90,Group_A,Active
APP-00237,1988-12-17,applicant_237@email.com,85,Group_B,Active
APP-00238,1988-06-26,applicant_238@email.com,85,Group_B,Active
APP-00239,1980-03-26,applicant_239@email.com,54,Group_B,Active
APP-00240,1996-04-05,applicant_240@email.com,71,Group_C,Inactive
APP-00241,1992-01-25,applicant.num_241@email.com,83,Group_C,Active
APP-00242,12-24-1991,applicant_242@email.com,55,Group_A,Active
APP-00243,1994-06-28,applicant_243@email.com,76,Group_B,Active
APP-00244,1996-10-28,applicant_244@email.com,75,Group_C,Active
APP-00245,1995-08-11,applicant_245@email.com,73,Group_B,Active
APP-00246,1982-11-09,applicant_246@email.com,75,Group_A,Active
APP-00247,1986-09-21,applicant_247@email.com,80,Group_B,Active
APP-00248,03-15-1988,applicant_248@email.com,null,Group_B,Active
APP-00249,1997-10-15,applicant_249email.com,74,Group_C,Active
APP-00250,1980-11-07,applicant_250@email.com,85,Group_A,Active
APP-00251,1991-06-10,applicant_251email.com,79,Group_C,Active
APP-00252,11-21-1987,applicant_252email.com,null,Group_A,Active
APP-00253,1991-11-13,applicant_253@email.com,59,Group_B,Active
APP-00254,1998-06-22,applicant_254@email.com,74,Group_C,Inactive
APP-00255,1993-03-05,applicant_255@email.com,93,Group_A,Inactive
APP-00256,1983-11-08,applicant_256@email.com,,Group_A,Active
APP-00257,1983-03-19,applicant.num_257@email.com,53,Group_C,Active
APP-00258,1995-10-31,applicant.num_258@email.com,78,Group_B,Inactive
APP-00259,1985-04-26,applicant_259email.com,65,Group_A,Inactive
APP-00260,06-08-1989,applicant_260@email.com,63,Group_B,Active
APP-00261,1986-01-05,applicant_261@email.com,77,Group_A,Active
APP-00262,1995-05-28,applicant_262@email.com,83,Group_B,Active
APP-00263,1992-06-05,applicant_263@email.com,82,Group_B,Active
APP-00264,1982-10-26,applicant_264@email.com,86,Group_A,Active
APP-00265,04-27-1987,applicant_265@email.com,87,Group_A,Inactive
APP-00266,1980-10-26,applicant_266@email.com,66,Group_B,Active
APP-00267,1989-02-15,applicant_267@email.com,null,Group_A,Active
APP-00268,1992-08-08,applicant_268@email.com,63,Group_A,Active
APP-00269,1987-03-12,applicant_269@email.com,66,Group_C,Inactive
APP-00270,1999-02-14,applicant_270@email.com,82,Group_B,Active
APP-00271,1992-06-10,applicant_271@email.com,68,Group_B,Active
APP-00272,1997-12-26,applicant_272@email.com,78,Group_C,Inactive
APP-00273,1981-10-14,applicant_273@email.com,82,Group_A,Active
APP-00274,01-02-1997,applicant_274@email.com,83,Group_C,Active
APP-00275,1987-02-11,applicant_275@email.com,66,Group_C,Active
APP-00276,2000-03-27,applicant_276@email.com,62,Group_A,Active
APP-00277,10-16-1986,applicant_277@email.com,54,Group_B,Active
APP-00278,1990-06-10,applicant_278@email.com,null,Group_B,Inactive
APP-00279,1993-01-17,applicant_279@email.com,65,Group_B,Active
APP-00280,1980-04-04,applicant_280@email.com,,Group_A,Active
APP-00281,1997-06-08,applicant_281@email.com,82,Group_C,Inactive
APP-00282,1996-03-16,applicant_282@email.com,81,Group_B,Active
APP-00283,1982-07-19,applicant_283@email.com,null,Group_A,Active
APP-00284,11-26-1990,applicant_284@email.com,61,Group_B,Active
APP-00285,03-22-1982,applicant_285@email.com,82,Group_B,Inactive
APP-00286,1985-02-08,applicant_286@email.com,57,Group_B,Active
APP-00287,1983-05-31,applicant_287@email.com,65,Group_B,Active
APP-00288,1985-07-20,applicant_288email.com,58,Group_A,Active
APP-00289,09-30-1989,applicant_289@email.com,,Group_B,Active
APP-00290,09-03-1990,applicant_290@email.com,59,Group_B,Active
APP-00291,1989-11-08,applicant_291@email.com,70,Group_B,Active
APP-00292,1990-12-27,applicant_292@email.com,56,Group_C,Active
APP-00293,1998-02-16,applicant_293@email.com,80,Group_C,Active
APP-00294,1989-08-15,applicant_294@email.com,82,Group_A,Active
APP-00295,1997-06-15,applicant_295@email.com,57,Group_B,Active
APP-00296,1981-11-11,applicant_296@email.com,63,Group_C,Active
APP-00297,1982-05-03,applicant_297@email.com,68,Group_C,Inactive
APP-00298,1981-09-03,applicant_298email.com,54,Group_B,Active
APP-00299,1993-09-03,applicant_299@email.com,87,Group_A,Inactive
APP-00300,1994-04-26,applicant_300@email.com,78,Group_A,Inactive
APP-00301,1993-07-14,applicant_301@email.com,73,Group_A,Active
APP-00302,1980-11-11,applicant_302@email.com,69,Group_B,Active
APP-00303,1996-03-18,applicant_303@email.com,null,Group_A,Inactive
APP-00304,05-28-1980,applicant.num_304@email.com,59,Group_A,Inactive
APP-00305,1990-12-13,applicant_305@email.com,79,Group_A,Inactive
APP-00306,1991-09-27,applicant_306@email.com,76,Group_A,Active
APP-00307,1987-06-20,applicant.num_307@email.com,78,Group_C,Active
APP-00308,1980-09-06,applicant_308@email.com,81,Group_A,Active
APP-00309,1981-06-25,applicant_309@email.com,72,Group_A,Active
APP-00310,1995-02-10,applicant_310@email.com,59,Group_C,Active
APP-00311,1990-09-09,applicant_311email.com,62,Group_C,Inactive
APP-00312,1981-05-13,applicant.num_312@email.com,63,Group_B,Active
APP-00313,1990-09-11,applicant_313@email.com,84,Group_A,Active
APP-00314,2000-01-21,applicant_314@email.com,92,Group_A,Active
APP-00315,1982-05-16,applicant_315@email.com,null,Group_B,Active
APP-00316,1988-07-08,applicant_316@email.com,73,Group_A,Inactive
APP-00317,1985-12-25,applicant_317@email.com,50,Group_C,Inactive
APP-00318,1988-07-13,applicant_318@email.com,63,Group_B,Active
APP-00319,10-17-1994,applicant_319@email.com,,Group_B,Active
APP-00320,1995-08-10,applicant_320@email.com,67,Group_B,Active
APP-00321,1984-07-08,applicant_321@email.com,50,Group_C,Active
APP-00322,1985-10-31,applicant.num_322@email.com,56,Group_B,Active
APP-00323,1991-08-14,applicant_323@email.com,92,Group_A,Inactive
APP-00324,1998-11-24,applicant_324@email.com,66,Group_B,Active
APP-00325,1989-08-12,applicant_325@email.com,52,Group_A,Active
APP-00326,1988-02-06,applicant_326@email.com,54,Group_C,Active
APP-00327,07-26-1997,applicant_327@email.com,66,Group_C,Active
APP-00328,1980-06-13,applicant_328@email.com,80,Group_A,Active
APP-00329,1992-09-22,applicant_329@email.com,57,Group_B,Active
APP-00330,1987-01-25,applicant_330@email.com,null,Group_B,Active
APP-00331,01-24-1981,applicant_331@email.com,67,Group_C,Active
APP-00332,1984-10-29,applicant_332@email.com,,Group_B,Inactive
APP-00333,1999-07-29,applicant_333@email.com,69,Group_A,Inactive
APP-00334,1987-04-07,applicant.num_334@email.com,59,Group_C,Inactive
APP-00335,1998-12-29,applicant_335@email.com,51,Group_C,Active
APP-00336,01-28-1983,applicant_336@email.com,84,Group_C,Active
APP-00337,1993-10-20,applicant_337@email.com,54,Group_A,Active
APP-00338,1985-01-06,applicant_338@email.com,62,Group_B,Active
APP-00339,06-01-1993,applicant_339@email.com,81,Group_C,Active
APP-00340,1991-09-10,applicant_340@email.com,91,Group_A,Inactive
APP-00341,1982-07-31,applicant_341@email.com,63,Group_B,Inactive
APP-00342,1981-03-04,applicant_342@email.com,53,Group_B,Active
APP-00343,1986-01-11,applicant_343@email.com,77,Group_B,Active
APP-00344,1988-11-22,applicant_344@email.com,61,Group_B,Active
APP-00345,1994-10-07,applicant_345@email.com,67,Group_A,Active
APP-00346,1994-01-21,applicant.num_346@email.com,54,Group_C,Active
APP-00347,1996-11-23,applicant_347@email.com,81,Group_A,Active
APP-00348,1996-08-08,applicant_348@email.com,77,Group_A,Active
APP-00349,08-01-2000,applicant_349@email.com,80,Group_B,Active
APP-00350,1983-08-14,applicant_350@email.com,94,Group_A,Inactive
APP-00351,11-17-2000,applicant_351@email.com,64,Group_C,Inactive
APP-00352,1982-07-03,applicant_352@email.com,50,Group_B,Active
APP-00353,09-09-1987,applicant_353@email.com,72,Group_C,Active
APP-00354,1986-07-13,applicant_354@email.com,50,Group_C,Active
APP-00355,1988-06-08,applicant_355@email.com,61,Group_B,Active
APP-00356,1984-03-08,applicant_356@email.com,71,Group_B,Active
APP-00357,1980-09-17,applicant_357@email.com,67,Group_A,Inactive
APP-00358,1984-10-07,applicant_358@email.com,80,Group_B,Active
APP-00359,1994-12-01,applicant_359@email.com,61,Group_C,Active
APP-00360,1990-04-12,applicant_360@email.com,72,Group_B,Active
APP-00361,1984-08-28,applicant_361@email.com,60,Group_A,Inactive
APP-00362,1989-09-11,applicant_362@email.com,76,Group_A,Active
APP-00363,1981-03-24,applicant_363@email.com,67,Group_C,Active
APP-00364,1993-12-13,applicant_364@email.com,57,Group_B,Inactive
APP-00365,1981-10-22,applicant_365@email.com,66,Group_B,Active
APP-00366,2000-05-24,applicant_366@email.com,85,Group_C,Active
APP-00367,1983-09-21,applicant_367@email.com,68,Group_B,Active
APP-00368,1998-08-09,applicant_368@email.com,88,Group_A,Inactive
APP-00369,1981-12-21,applicant_369@email.com,59,Group_A,Active
APP-00370,1995-07-20,applicant_370@email.com,85,Group_B,Inactive
APP-00371,1988-06-05,applicant_371@email.com,68,Group_B,Active
APP-00372,09-01-1992,applicant_372@email.com,50,Group_C,Active
APP-00373,10-04-1980,applicant_373@email.com,56,Group_C,Inactive
APP-00374,1990-08-01,applicant_374@email.com,83,Group_B,Inactive
APP-00375,1992-05-12,applicant_375@email.com,,Group_B,Active
APP-00376,1981-09-20,applicant_376@email.com,74,Group_B,Active
APP-00377,1986-06-12,applicant_377@email.com,61,Group_A,Active
APP-00378,1993-11-04,applicant_378@email.com,57,Group_A,Active
APP-00379,1982-05-18,applicant_379@email.com,null,Group_C,Inactive
APP-00380,1985-11-15,applicant_380email.com,null,Group_C,Active
APP-00381,1993-08-17,applicant_381@email.com,71,Group_B,Active
APP-00382,1991-02-04,applicant.num_382@email.com,70,Group_B,Active
APP-00383,1993-09-19,applicant_383@email.com,null,Group_A,Active
APP-00384,1980-03-15,applicant_384@email.com,63,Group_A,Active
APP-00385,1996-01-07,applicant.num_385@email.com,85,Group_A,Inactive
APP-00386,1986-11-03,applicant_386@email.com,57,Group_C,Active
APP-00387,1985-02-26,applicant_387@email.com,53,Group_C,Inactive
APP-00388,1988-07-15,applicant_388@email.com,55,Group_C,Active
APP-00389,1990-12-24,applicant_389email.com,61,Group_B,Active
APP-00390,04-06-1999,applicant_390email.com,77,Group_A,Active
APP-00391,1998-02-06,applicant_391@email.com,null,Group_C,Active
APP-00392,1987-09-30,applicant_392@email.com,,Group_C,Active
APP-00393,2000-02-15,applicant_393@email.com,66,Group_B,Inactive
APP-00394,1989-02-28,applicant_394@email.com,88,Group_A,Active
APP-00395,1998-12-31,applicant_395@email.com,79,Group_A,Active
APP-00396,1992-09-12,applicant_396@email.com,72,Group_A,Active
APP-00397,1982-03-31,applicant_397@email.com,59,Group_B,Inactive
APP-00398,09-13-2000,applicant_398@email.com,85,Group_B,Inactive
APP-00399,1988-06-20,applicant_399@email.com,71,Group_C,Active
APP-00400,1982-02-09,applicant_400@email.com,68,Group_B,Active
APP-00401,1993-07-19,applicant_401email.com,60,Group_C,Inactive
APP-00402,1994-08-31,applicant_402@email.com,78,Group_A,Active
APP-00403,1986-09-01,applicant_403@email.com,53,Group_B,Active
APP-00404,07-28-1995,applicant_404@email.com,64,Group_C,Active
APP-00405,1987-12-15,applicant_405@email.com,50,Group_B,Active
APP-00406,1992-08-21,applicant_406@email.com,53,Group_A,Active
APP-00407,1997-06-27,applicant_407@email.com,60,Group_B,Inactive
APP-00408,1987-12-30,applicant_408@email.com,61,Group_C,Active
APP-00409,1980-09-12,applicant_409@email.com,70,Group_A,Active
APP-00410,11-25-1995,applicant.num_410@email.com,74,Group_A,Inactive
APP-00411,1990-07-24,applicant_411@email.com,77,Group_B,Active
APP-00412,1991-05-01,applicant_412@email.com,78,Group_A,Active
APP-00413,1986-10-07,applicant_413@email.com,83,Group_B,Active
APP-00414,1985-10-11,applicant.num_414@email.com,66,Group_C,Inactive
APP-00415,1986-09-07,applicant_415@email.com,81,Group_A,Active
